course_title,content_duration,price
The Complete Figure Drawing Course HD,78.5,50.0
The Complete Web Development Course -  Build 15 Projects,76.5,200.0
Financial Management - A Complete Study,71.5,190.0
TRADER BOT: Introdução à Linguagem MQL5,70.0,20.0
Anatomy for Figure Drawing: Mastering the Human Figure,68.5,95.0
Modern E-Commerce Store In php & mysqli With Bootstrap,66.5,50.0
Discover How to Draw and paint Comics,62.0,65.0
Advanced Accounting A Complete Study for CA / CMA / CFA / CS,62.0,150.0
Become a Professional Web Developer | Version 3.0,60.0,200.0
Code & Grow Rich:  Earn More As An Entrepreneur Or Developer,57.0,200.0
The Complete Web Developer Masterclass: Beginner To Advanced,51.0,195.0
Become a Kick-Ass Web Developer: From Newbie to Pro,48.5,200.0
Financial Risk Manager (FRM) Certification: Level II,47.0,50.0
Learn to Trade The News,46.5,200.0
Cost Accounting and Financial Management - A Complete Study,45.0,150.0
"Coding for Entrepreneurs: Learn Python, Django, and More.",45.0,195.0
CSSCasts; CSS libraries Plugins Tips & Tricks for Developers,44.5,200.0
Back to School Web Development and Programming Bundle,44.5,200.0
MCA Accountancy and Financial Management -Paper MCS 35 IGNOU,43.5,180.0
The Web Developer Bootcamp,43.0,200.0
The Most Comprehensive Web Development Course,42.0,200.0
Complete GST Course & Certification - Grow Your CA Practice,39.0,75.0
Gibson's Learn & Master Guitar,38.0,50.0
Dissecting Ruby on Rails 5 - Become a Professional Developer,37.5,195.0
Complete Guitar System - Beginner to Advanced,34.0,145.0
The Full Stack Web Development,33.0,60.0
"Accounting, Finance and Banking - A Comprehensive Study",33.0,180.0
How to Create A Website: An HTML Tutorial and CSS Tutorial,32.5,65.0
Ultimate Web Designer & Developer Course: Build 23 Projects!,32.5,200.0
Ultimate Web Developer Course Build 10 Websites from Scratch,32.5,200.0
Practical Accounts Training A,31.5,35.0
Bookkeeping Practicals with Software,31.5,35.0
B Com Accountancy I (Paper ECO 02 IGNOU),31.5,50.0
Full-Stack Web Apps with Meteor and React,31.5,85.0
The Complete Ruby on Rails Developer Course,31.5,195.0
Python and Django Full Stack Web Developer Bootcamp,31.5,200.0
How to play Piano - Go from a Beginner/Intermediate to a Pro,31.0,200.0
PHP for Beginners -Become a PHP Master - Project Included,30.5,200.0
The Complete Web Developer Course 2.0,30.5,200.0
الدورة الشاملة illustrator from zero to hero,30.0,150.0
Pianoforall - Incredible New Way To Learn Piano & Keyboard,30.0,200.0
PHP with Laravel for beginners - Become a Master in Laravel,29.5,150.0
Cost Accounting - A Comprehensive Study,29.5,180.0
Accounting Basics - A Complete Study,29.0,180.0
Guitar Chord Mastery!Turn Your Brain Into A Chord Encyclopia,28.5,200.0
Become a Web Developer from Scratch,27.5,120.0
Modern React with Redux,26.5,180.0
MBA Accounting and Finance for Managers(Paper MS04 of IGNOU),26.0,150.0
Python Programming: Create an Digital Marketplace in Django,26.0,195.0
"Core: A Web App Reference Guide for Django, Python, and More",26.0,195.0
Building a ASP.NET MVC 5 Membership Website,25.5,95.0
"Beginner Full Stack Web Development: HTML, CSS, React & Node",25.5,200.0
Professional WordPress Theme Development from Scratch,25.5,200.0
Complete WordPress Theme Developer Course With Bootstrap,25.0,150.0
"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",25.0,200.0
Advanced Financial Management for CA / CS / CFA /CPA Exams,24.5,150.0
Accounting and Finance for Bankers - A Comprehensive Study,24.5,180.0
Capital Market Immersion,24.5,195.0
Complete Web Development Course + Building 5 Websites!,24.5,200.0
Professional Risk Manager (PRM) Certification: Level 1,24.0,50.0
Financial Risk Manager (FRM) Certification: Level I,24.0,50.0
Architectural Drawing For Creatives,24.0,195.0
Spring 4 Mastercourse: Covers Annotation & XML Configuration,23.5,200.0
Projects in PHP and MySQL,23.0,60.0
The Complete Piano Course - Master The Piano,23.0,95.0
Learn to build 20 websites and build 14 iOS9 apps with swift,22.5,40.0
Build Advanced Responsive Websites with Foundation 6 & SASS,22.5,200.0
The Complete jQuery Course - From Beginner to Professional!,22.5,200.0
The Ultimate Web Developer How To Guide,22.5,200.0
Angular 4 (formerly Angular 2) - The Complete Guide,22.0,190.0
Introduction to Java Programming for Online Learners,22.0,200.0
The Complete Web Developer Bootcamp - Beginner to Expert,21.5,190.0
Learn Bootstrap3 With Multi Purposes Single Page Layout,21.0,0.0
Anatomy and Figure Drawing for Beginners,21.0,150.0
Foundations of Front-End Web Development,20.5,0.0
الدروس التعليمية لسوق الفوركس والأسواق المالية الأخرى,20.5,0.0
CAIIB Advanced Bank Management (Part I),20.5,25.0
Become a Professional Graphic Designer,20.5,35.0
Curso Avanzado de Trading,20.5,125.0
The Complete WordPress Website Business Course,20.5,150.0
