course_id,course_title,content_duration
1193056,Trader sur le Forex avec Ichimoku,2.5
1075366,Adobe InDesign CC 2017 Quick Start,2.5
1080584,Adobe Photoshop CC for Photographers Advanced,2.5
422546,Piano - Circle of 5ths to Play A Song in 12 Keys in 12 Days,2.5
690966,Learn Azure Cloud Step by Step,2.5
521952,Ultimate Guide To Trading Engulfing Candlestick Strategy,2.5
1140532,Explore JavaScript Beginners Guide to Coding JavaScript,2.5
851288,Smart Trading Techniques for Safe & Consistent Weekly Result,2.5
638040,Adobe Photoshop Essentials: Master Adobe Photoshop CS6,2.5
172898,Fundamental Financial Math,2.5
1021104,Aprenda a Investir seu Dinheiro,2.5
59535,HTML for Beginners,2.5
1095488,Adobe photoshop The  Flying Land compositing,2.5
922600,CSS Web Development Crash Course,2.5
826912,Six Stage Negotiation,2.5
131562,Piano With A Pro,2.5
774910,WordPress: Create an Amazing Website With Ease,2.5
1006314,Financial Modeling for Business Analysts and Consultants,2.5
812610,Trumpet Lessons For Beginners,2.5
589900,The 7 Day Guitar Method,2.5
295843,Introduction to Laravel 4,2.5
584522,Voiceover Audio Secrets - Your Way to Top Audio Quality,2.5
1258402,Canva Complete Course For Graphics Design | 20 Projects,2.5
463834,Cost Accounting Overheads (Professional Course Level),2.5
1010988,Economics for beginners - Various Concepts,2.5
396888,Introducción a la Contabilidad,2.5
792703,Create WordPress Plugins,2.5
595258,Finance for Non-Finance: Learn Quick and Easy,2.5
818786,Drum Lessons For Beginners,2.5
664764,Mike G's Beginner Drum Course: Part 2,2.5
326244,"Installing Wordpress 4 - Installation, Registrars & Hosting",2.5
1266468,Indesign - Para quem quer trabalhar com Design Gráfico,2.5
945320,Javascript Intermediate level 2 - Mastering Functions,2.5
869716,株式投資で本当のテクニカル分析ができるようになる,2.5
138560,Credit Repair from a Financial Institution,2.5
218540,Aprende a tocar el violín desde cero,2.5
1223336,Photoshop Essentials - Uma Introdução Detalhada,2.5
632234,Guitar Chords and Basic Strumming,2.5
1183094,"ASP.NET Core MVC, Quick and Practical",2.5
538540,Forex Trading vs Option Trading,2.5
803664,How to invest in Gold,2.5
1019918,Master Angular 2 - The No Nonsense Course,2.5
849632,Write a Successful Business Grant Proposal,2.5
253810,"IAS 8-Accounting Policies ,Changes in Accounting Estimates",2.5
1159988,Electric Guitar for Beginners - RockStarter Level 1,2.5
1036400,"Piano Unbound. Piano learning method, a course for beginners",2.5
541824,FX Commodity Chart Trading Patterns for Success,2.5
302456,Bookkeeping Made Simple,2.5
1151342,How to Design Simple Promotional Materials in Photoshop,2.5
1015308,Mobile App Design in Photoshop from Scratch - UI & UX DESIGN,2.5
1170894,Python Algo Stock Trading: Automate Your Trading!,2.5
1209694,Become A Forex Trader - Forex trading like a professional,2.5
760066,Blues Guitar Lessons - Volume 1 - Blues Shuffle Essentials,2.5
663702,Graphic Design: Double Your Sales With Canva,2.5
